Date,Open,High,Low,Close,Adj Close,Volume
11/06/2020,167,175.5,158.800003,160.550003,160.550003,112960626
12/06/2020,151,170.399994,147.149994,168.600006,168.600006,83496381
15/06/2020,168.5,168.75,159.149994,161.350006,161.350006,47099881
16/06/2020,166.75,169.75,155.399994,161.350006,161.350006,45217421
17/06/2020,160,166.25,157.199997,162.350006,162.350006,43137712
18/06/2020,161,165.5,160.199997,164.800003,164.800003,25544612
19/06/2020,167,172.350006,164.050003,168.899994,168.899994,44125120
22/06/2020,170.100006,192.300003,170.100006,182.300003,182.300003,76653018
23/06/2020,186,189.800003,181.649994,187,187,34279983
24/06/2020,190,205.699997,182,185.75,185.75,88490399
25/06/2020,181.899994,192.199997,179.399994,189.899994,189.899994,54946833
26/06/2020,193.300003,198.300003,189,190.649994,190.649994,34516614
29/06/2020,186,187.949997,177.300003,179.649994,179.649994,32071426
30/06/2020,183,185.5,172.550003,173.5,173.5,26561621
01/07/2020,175,177.5,171.149994,173.949997,173.949997,31114193
02/07/2020,176,181.350006,174.899994,177.649994,177.649994,36949228
03/07/2020,180,181.25,170.800003,173.600006,173.600006,29443398
06/07/2020,176,180,175.149994,178.050003,178.050003,26821405
07/07/2020,178.100006,190,177.100006,186.949997,186.949997,52292533
08/07/2020,189,197.399994,185,186.600006,186.600006,54980768
09/07/2020,189,192.399994,186.100006,188.149994,188.149994,27866502
10/07/2020,187.300003,187.899994,178.399994,181.050003,181.050003,29988723
13/07/2020,185.899994,185.899994,177.100006,177.899994,177.899994,23245654
14/07/2020,174,174,162.600006,165,165,42830060
15/07/2020,168.25,171.699997,163.75,164.649994,164.649994,34104988
16/07/2020,166.75,168,160.5,166.899994,166.899994,28078078
17/07/2020,167.199997,171.5,166,169.550003,169.550003,24101709
20/07/2020,170.899994,177.300003,170.199997,174.699997,174.699997,28968532
21/07/2020,178,179.399994,174.699997,176.5,176.5,17073853
22/07/2020,177.600006,179.5,171.850006,174.199997,174.199997,26671369
23/07/2020,174.199997,178,171.300003,177.149994,177.149994,14036656
24/07/2020,174,186.399994,172.949997,182.899994,182.899994,61063425
27/07/2020,183.850006,184.449997,177.050003,178.800003,178.800003,14941544
28/07/2020,178.25,183.350006,176.199997,181.899994,181.899994,15763097
29/07/2020,177.949997,189.550003,174.050003,176.649994,176.649994,37527973
30/07/2020,178,179.600006,168,169,169,22129540
31/07/2020,169,170.600006,165.899994,169.550003,169.550003,19553484
03/08/2020,169.5,169.550003,162.199997,162.949997,162.949997,17755715
04/08/2020,163.899994,170,160.800003,168.800003,168.800003,20986331
05/08/2020,172.100006,177.199997,171.550003,174.949997,174.949997,29621229
06/08/2020,175.899994,177.25,171.800003,174.149994,174.149994,21316742
07/08/2020,174.149994,193.699997,171.399994,191.300003,191.300003,71364668
10/08/2020,190.75,193.300003,180.100006,181,181,33990871
11/08/2020,182.949997,186.5,182.100006,185.199997,185.199997,21569910
12/08/2020,184,191.25,181.350006,187.800003,187.800003,27646780
13/08/2020,189,189.699997,183.300003,184.949997,184.949997,14267771
14/08/2020,185.949997,187.399994,173.949997,177.199997,177.199997,23067661
17/08/2020,179.050003,184.25,175.850006,183.5,183.5,20227215
18/08/2020,184.899994,186.75,178.25,182.399994,182.399994,20519202
19/08/2020,184.149994,188.100006,182.550003,184.800003,184.800003,19680013
20/08/2020,184,190,178.449997,182.149994,182.149994,36606297
21/08/2020,184,186,183.199997,184.149994,184.149994,14313867
24/08/2020,185.399994,186,183.149994,184.449997,184.449997,7096574
25/08/2020,185.899994,194.399994,185.25,188.949997,188.949997,36785535
26/08/2020,190.5,201.899994,189.199997,200.399994,200.399994,50727208
27/08/2020,203.800003,208,197.800003,202.800003,202.800003,48883525
28/08/2020,203.800003,214,203.5,210.5,210.5,42783595
31/08/2020,214.800003,217.699997,191.649994,195.949997,195.949997,47781997
01/09/2020,196,200.399994,184.649994,191.850006,191.850006,25850226
02/09/2020,193.75,198.199997,189.600006,197.050003,197.050003,18597815
03/09/2020,199.25,202,191.899994,192.800003,192.800003,17171595
04/09/2020,189.399994,195.649994,184.899994,188.800003,188.800003,22377780
07/09/2020,188.800003,190.600006,184.100006,186.75,186.75,16016571
08/09/2020,187.5,187.600006,177,179.800003,179.800003,21344777
09/09/2020,176,177.5,170.649994,175.600006,175.600006,21414391
10/09/2020,177.5,183.850006,177.5,180.5,180.5,21767791
11/09/2020,180.5,184.199997,178.75,182.649994,182.649994,16834108
14/09/2020,185,187.5,180,181.050003,181.050003,16360690
15/09/2020,182,184.649994,179.5,183.949997,183.949997,15339717
16/09/2020,184,187.149994,182.149994,185.699997,185.699997,12867640
17/09/2020,183.5,185.300003,182.5,183.649994,183.649994,9493168
18/09/2020,184.899994,185.399994,177.350006,180.649994,180.649994,11112363
21/09/2020,181.100006,182.300003,167.899994,169.199997,169.199997,14225488
22/09/2020,169.300003,171.199997,161.399994,166.199997,166.199997,20166387
23/09/2020,168.050003,171.199997,161.550003,166.350006,166.350006,17697782
24/09/2020,163,164.850006,156.100006,157.800003,157.800003,12674632
25/09/2020,161,165.899994,158.550003,164.949997,164.949997,17080914
28/09/2020,167,174.199997,166.050003,173.649994,173.649994,14342701
29/09/2020,175.25,176.350006,169.199997,170,170,13603542
30/09/2020,171,172.199997,168,169.899994,169.899994,10850835
01/10/2020,171.899994,179.449997,171.199997,177.850006,177.850006,17648786
05/10/2020,179.800003,185,173.75,175.300003,175.300003,20124433
06/10/2020,178,182.100006,177.699997,180.800003,180.800003,14855792
07/10/2020,179.800003,181.600006,176.100006,177.100006,177.100006,12262020
08/10/2020,179.199997,181,172.699997,173.850006,173.850006,15091088
09/10/2020,175.25,181.949997,172.25,180.050003,180.050003,21886646
12/10/2020,181.600006,183.899994,174.199997,174.949997,174.949997,12854323
13/10/2020,174.699997,174.699997,168.850006,169.75,169.75,12664761
14/10/2020,167.5,174,165.800003,172.899994,172.899994,14798291
15/10/2020,173.5,176.100006,166.199997,167,167,12580775
16/10/2020,168.100006,172.5,166.850006,172,172,11753757
19/10/2020,173.100006,180.899994,172.5,178.850006,178.850006,21081240
20/10/2020,177,181.649994,175.149994,179.449997,179.449997,13626093
21/10/2020,180.949997,186,175.800003,180.449997,180.449997,20650954
22/10/2020,179.5,182.149994,178,181.149994,181.149994,11932671
23/10/2020,182,182,176.5,177.850006,177.850006,14033845
26/10/2020,179,179.25,174.100006,175.5,175.5,11551031
27/10/2020,175.5,176.649994,168.600006,175.149994,175.149994,14826534
28/10/2020,175.899994,180,172.699997,175.350006,175.350006,15408835
29/10/2020,177.399994,182,171.149994,174.75,174.75,31283608
30/10/2020,174.949997,178.899994,172.600006,174.350006,174.350006,14360075
02/11/2020,175.5,183.399994,174.050003,179.699997,179.699997,19311582
03/11/2020,181.5,188.850006,181.199997,184.5,184.5,26186427
04/11/2020,184.5,186.350006,179.75,184.850006,184.850006,15003993
05/11/2020,187.949997,188.300003,183.649994,185.800003,185.800003,12187014
06/11/2020,186,197.75,184.149994,193.25,193.25,39882217
09/11/2020,195,200.25,193.5,197,197,21284456
10/11/2020,199.300003,213.850006,198.5,209.5,209.5,43163820
11/11/2020,211,213.699997,200.75,205.649994,205.649994,29536879
12/11/2020,205,207.699997,201.5,202.5,202.5,20029191
13/11/2020,198.699997,207.600006,196.850006,205.600006,205.600006,19494934
17/11/2020,208.300003,213.399994,206.25,212.300003,212.300003,20173068
18/11/2020,211.949997,223,210.600006,221.25,221.25,38521052
19/11/2020,217,219.199997,210.199997,212,212,16554591
20/11/2020,213.800003,215.449997,207.100006,211.600006,211.600006,13869447
23/11/2020,215,218,211.449997,212.649994,212.649994,11472272
24/11/2020,216.399994,230,215.600006,226.399994,226.399994,37826692
25/11/2020,229,236,222.649994,226.600006,226.600006,39123335
26/11/2020,228.550003,229.800003,219.75,222.399994,222.399994,19984346
27/11/2020,224,227,222.399994,223.800003,223.800003,13504425
01/12/2020,225.449997,227.800003,220.100006,225.699997,225.699997,12095583
02/12/2020,227.699997,230.5,221.300003,225.75,225.75,15949367
03/12/2020,227.399994,234.75,226.5,231.800003,231.800003,18420230
04/12/2020,232.899994,239.5,230.550003,237.199997,237.199997,23190815
07/12/2020,236.649994,244.899994,230.199997,242.949997,242.949997,29622343
08/12/2020,244.850006,245.199997,233.550003,237.300003,237.300003,20773921
09/12/2020,239.350006,240.300003,235.5,236.800003,236.800003,11402930
10/12/2020,237,242.800003,231.5,234.699997,234.699997,13593650
11/12/2020,236,242.5,233.600006,235.550003,235.550003,15252464
14/12/2020,238.399994,239.199997,234.199997,234.850006,234.850006,10984815
15/12/2020,235,238,228.199997,237.100006,237.100006,16607062
16/12/2020,238.199997,244,237.75,241.800003,241.800003,13238721
17/12/2020,241,242.75,234.600006,236.800003,236.800003,8522968
